"","Sample_ID","Group"
"EPI17","EPI17","EPI"
"EPI18","EPI18","EPI"
"EPI19","EPI19","EPI"
"EPI20","EPI20","EPI"
"EPI26","EPI26","EPI"
"EPI28","EPI28","EPI"
"EPI29","EPI29","EPI"
"EPI32","EPI32","EPI"
"EPI33","EPI33","EPI"
"EPI35","EPI35","EPI"
"EPI36","EPI36","EPI"
"EPI40","EPI40","EPI"
"EPI42","EPI42","EPI"
"EPI43","EPI43","EPI"
"EPI44","EPI44","EPI"
"EPI45","EPI45","EPI"
"EPI46","EPI46","EPI"
"EPI47","EPI47","EPI"
"EPI49","EPI49","EPI"
"EPI50","EPI50","EPI"
"EC11","EC11","Healthy"
"EC12","EC12","Healthy"
"EC13","EC13","Healthy"
"EC14","EC14","Healthy"
"EC15","EC15","Healthy"
"EC16","EC16","Healthy"
"EC17","EC17","Healthy"
"EC18","EC18","Healthy"
"EC19","EC19","Healthy"
"EC20","EC20","Healthy"
